
97-98 Salary listings

11/2/97

Players salaries taken from the Dallas Morning News.

The salary cap for 1997-98 is $26.9 million.

Team Total Salaries
 1. Los Angeles Clippers .... $24,493,625
 2. Toronto Raptors ......... $24,748,405
 3. Detroit Pistons ......... $24,876,625
 4. Vancouver Grizzlies ..... $25,637,110
 5. Milwaukee Bucks ......... $25,919,828
 6. Denver Nuggets .......... $26,518,960
 7. Cleveland Cavaliers ..... $26,677,290
 8. Boston Celtics .......... $26,800,500
 9. Charlotte Hornets ....... $27,006,013
10. Dallas Mavericks......... $27,268,948
11. Portland Trailblazers ... $27,786,719
12. Minnesota Timberwolves .. $27,787,780
13. Houston Rockets ......... $28,086,350
14. New Jersey Nets ......... $28,504,567
15. Utah Jazz ............... $28,505,442
16. Sacramento Kings ........ $30,046,350
17. Atlanta Hawks ........... $30,133,827
18. Philadelphia 76ers ...... $31,420,520
19. Golden State Warriors ... $32,856,469
20. Miami Heat .............. $34,641,186
21. Los Angeles Lakers ...... $36,304,083    
22. Phoenix Suns ............ $36,937,876
23. Seattle Sonics .......... $37,592,175
24. San Antonio Spurs ....... $38,846,163
25. Indiana Pacers .......... $39,162,273
26. Washington Wizards ...... $40,718,075
27. Orlando Magic ........... $43,954,299
28. New York Knicks ......... $53,974,881
29. Chicago Bulls ........... $61,330,670

 
  9 players will earn $10 million or more
  3 players will earn $9 to 10 million
  4 players will earn $8 to 9 million
  3 players will earn $7 to 8 million
  3 players will earn $6 to 7 million
 17 players will earn $5 to 6 million
 27 players will earn $4 to 5 million
 42 players will earn $3 to 4 million
 59 players will earn $2 to 3 million  
101 players will earn $1 to 2 million 
The league average salary is $2.16 million.
The league minimum is $242,000 for rookies and $272,500 for veterans.
 
Players who will earn 4 million or more in 97-98  (there were 46 in 96-97)
 1. Michael Jordan (Chi) .....  33,140,000
 2. Patrick Ewing (NY) .......  20,500,000
 3. Horace Grant (Orl) .......  14,285,714
 4. Shaquille O'Neal (LAL) ...  12,857,143
 5. David Robinson (SA) ......  12,397,440
 6. Alonzo Mourning (Mia) ....  11,254,800
 7. Juwan Howard (Was) .......  11,250,000
 8. Hakeem Olajuwon (Hou) ....  11,156,000
 9. Gary Payton (Sea) ........  10,514,688
10. Dikembe Mutombo (Atl) ....   9,615,187
11. Reggie Miller (Ind) ......   9,031,850
12. Chris Webber (Was) .......   9,000,000
13. Shawn Kemp (Cle) .........   8,600,000
14. Larry Johnson (NY) .......   8,460,714
15. Derrick Coleman (Phi) ....   8,002,800
16. Kevin Johnson (Pho) ......   8,000,000
17. Latrell Sprewell (GS) ....   7,770,000
18. Anfernee Hardaway (Orl) ..   7,580,000
19. Elden Campbell (LAL) .....   7,000,000
20. Danny Manning (Pho) ......   6,833,333
21. Robert Horry (LAL) .......   6,000,000
22. Allan Houston (NY) .......   6,000,000
23. Shawn Bradley (Dal) ......   5,940,000
24. Grant Hill (Det) .........   5,850,000
25. Otis Thorpe (Van) ........   5,700,000
26. Glenn Robinson (Mil) .....   5,510,000
27. Clyde Drexler (Hou) ......   5,500,000
28. Tom Gugliotta (Min) ......   5,500,000
29. Steve Smith (Atl) ........   5,400,000
30. Sean Elliott (SA) ........   5,333,333
31. Dale Davis (Ind) .........   5,273,333
32. Jason Kidd (Pho) .........   5,223,333
33. Karl Malone (Uta) ........   5,118,578
34. John Starks (NY) .........   5,112,500
35. A.C. Green (Dal) .........   5,095,088
36. Christian Laettner (Atl) .   5,050,000
37. Kenny Anderson (Por) .....   5,010,000
38. Brian Grant (Por) ........   5,000,000
39. John Stockton (Uta) ......   5,000,000
40. Vlade Divac (Cha) ........   4,833,333
41. Tim Hardaway (Mia) .......   4,800,000
42. Glen Rice (Cha) ..........   4,702,000
43. Harvey Grant (Was) .......   4,671,875
44. Jim Jackson (Phi) ........   4,600,000
45. Dennis Rodman (Chi) ......   4,500,000   [rumored]
46. Ron Harper (Chi) .........   4,560,000
47. Toni Kukoc (Chi) .........   4,560,000
48. John Williams (Pho) ......   4,550,000
49. Antonio Davis (Ind) ......   4,500,000
50. Jamal Mashburn (Mia) .....   4,433,334
51. Kendall Gill (NJ) ........   4,400,000
52. Billy Owens (Sac) ........   4,225,200
53. Isaiah Rider (Por) .......   4,210,000
54. Jeff Hornacek (Uta) ......   4,195,000
55. Tyrone Hill (Mil) ........   4,110,000
56. Mark Price (Orl) .........   4,090,920
57. Vin Baker (Sea) ..........   4,064,373
58. Brian Williams (Det) .....   4,050,000
59. Bryant Stith (Den) .......   4,030,000
60. Sherman Douglas (Den) ....   4,025,000   [released]
61. Rony Seikaly (Orl) .......   4,002,000
62. Nick Anderson (Orl) ......   4,000,000
63. Danny Ferry (Cle) ........   4,000,000
64. Rik Smits (Ind) ..........   4,000,000


Boston Celtics   ($26,800,500)
  Player                     Salary   
  Dee Brown .............  $3,500,000
  Dana Barros ...........   3,400,000
  Dino Radja ............   2,500,000   [playing in Europe]
  Chauncey Billups ......   2,384,640
  Greg Minor ............   2,160,000
  Pervis Ellison ........   2,090,000
  Travis Knight .........   2,000,000
  Antoine Walker ........   1,864,080
  Ron Mercer ............   1,768,320
  Andrew DeClercq .......   1,200,000
  Walter McCarty ........     862,560
  Dontae' Jones .........     794,880
  Roy Rogers ............     763,080
  John Thomas ...........     640,440
  Bruce Bowen ...........     422,500
  Tyus Edney ............     400,000
  Scott Brooks ..........      50,000   [released]

Miami Heat   ($34,641,186)
  Player                     Salary   
  Alonzo Mourning ....... $11,254,800
  Tim Hardaway ..........   4,800,000
  Jamal Mashburn ........   4,433,334
  P.J. Brown ............   3,844,800
  Dan Majerle ...........   2,820,000
  Voshon Lenard .........   2,364,597
  Duane Causwell ........   1,211,705
  Terry Mills ...........   1,000,000
  Keith Askins ..........     750,000
  Charles Smith .........     619,200
  Isaac Austin ..........     384,000
  Todd Day ..............     272,250
  Eric Murdock ..........     272,250
  Mark Strickland .......     272,250
  Malcolm Huckaby .......     242,000
  Ruben Nembhard ........      50,000   [released]
  Patrick Savoy .........      25,000   [released]
  Ben Davis .............      25,000   [released]

New Jersey Nets   ($28,504,567)
  Player                     Salary   
  Kendall Gill ..........  $4,400,000
  Chris Gatling .........   3,656,400
  Keith Van Horn ........   2,655,360
  Kevin Edwards .........   2,640,000
  Sam Cassell ...........   2,500,000
  Jayson Williams .......   2,500,000
  Don MacLean ...........   2,120,000
  Michael Cage ..........   2,055,421
  Kerry Kittles .........   1,559,040
  Yinka Dare ............   1,552,500
  Lucious Harris ........   1,440,000
  David Benoit ..........     609,096
  Sherman Douglas .......     272,250
  Jack Haley ............     272,250
  Steve Henson ..........     272,250

New York Knicks   ($53,974,881)
  Player                     Salary   
  Patrick Ewing ......... $20,500,000
  Larry Johnson .........   8,460,714
  Allan Houston .........   6,000,000
  John Starks ...........   5,112,500
