season,team,team_abbr,player,salary,team_raw,player_raw,salary_raw
1986,atlanta hawks,ATL,tree rollins,743000,"Atlanta Hawks            Total: $3,671,250",Tree Rollins,"743,000"
1986,atlanta hawks,ATL,dominique wilkins,585000,"Atlanta Hawks            Total: $3,671,250",Dominique Wilkins,"585,000"
1986,atlanta hawks,ATL,jon koncak,475250,"Atlanta Hawks            Total: $3,671,250",Jon Koncak,"475,250"
1986,atlanta hawks,ATL,antoine carr,335000,"Atlanta Hawks            Total: $3,671,250",Antoine Carr,"335,000"
1986,atlanta hawks,ATL,kevin willis,298000,"Atlanta Hawks            Total: $3,671,250",Kevin Willis,"298,000"
1986,atlanta hawks,ATL,eddie johnson,275000,"Atlanta Hawks            Total: $3,671,250",Eddie Johnson,"275,000"
1986,atlanta hawks,ATL,randy wittman,200000,"Atlanta Hawks            Total: $3,671,250",Randy Wittman,"200,000"
1986,atlanta hawks,ATL,cliff levingston,200000,"Atlanta Hawks            Total: $3,671,250",Cliff Levingston,"200,000"
1986,atlanta hawks,ATL,scott hastings,180000,"Atlanta Hawks            Total: $3,671,250",Scott Hastings,"180,000"
1986,atlanta hawks,ATL,doc rivers,170000,"Atlanta Hawks            Total: $3,671,250",Doc Rivers,"170,000"
1986,atlanta hawks,ATL,spud webb,70000,"Atlanta Hawks            Total: $3,671,250",Spud Webb,"70,000"
1986,atlanta hawks,ATL,lorenzo charles,70000,"Atlanta Hawks            Total: $3,671,250",Lorenzo Charles,"70,000"
1986,atlanta hawks,ATL,john battle,70000,"Atlanta Hawks            Total: $3,671,250",John Battle,"70,000"
1988,atlanta hawks,ATL,dominique wilkins,1460000,"Atlanta Hawks            Total: $6,584,200",Dominique Wilkins,"1,460,000"
1988,atlanta hawks,ATL,tree rollins,1117000,"Atlanta Hawks            Total: $6,584,200",Tree Rollins,"1,117,000"
1988,atlanta hawks,ATL,chris washburn,777200,"Atlanta Hawks            Total: $6,584,200",Chris Washburn,"777,200"
1988,atlanta hawks,ATL,jon koncak,675000,"Atlanta Hawks            Total: $6,584,200",Jon Koncak,"675,000"
